Company Name,Mes,Variable,Value
BA Comex S.A.,06-2024,Ventas Netas,5245855
Deposito Avellaneda Sur S.A.,06-2024,Ventas Netas,329737827
Edelweiss Spedition Srl,06-2024,Ventas Netas,25257605
El Llamito S.A.,06-2024,Ventas Netas,0
El Marques S.A.,06-2024,Ventas Netas,21190951
Jofa S.A.,06-2024,Ventas Netas,0
L A R M Argentina Sociedad Anonima,06-2024,Ventas Netas,35002628
Liftvan International Company S A C,06-2024,Ventas Netas,260837557
Mercovan Argentina S.A.,06-2024,Ventas Netas,141080650
Nerococina S.A.,06-2024,Ventas Netas,1282150
U-Bros S.A.,06-2024,Ventas Netas,9548340
Ulog S.A.,06-2024,Ventas Netas,1255418
Unapa S.A.,06-2024,Ventas Netas,0
Unknown Company,06-2024,Ventas Netas,0
Viñas En Flor S. R. L.,06-2024,Ventas Netas,135727257
Winehaus S.A.,06-2024,Ventas Netas,2057053
BA Comex S.A.,07-2024,Ventas Netas,1244973
Deposito Avellaneda Sur S.A.,07-2024,Ventas Netas,459000563
Edelweiss Spedition Srl,07-2024,Ventas Netas,10030107
El Llamito S.A.,07-2024,Ventas Netas,183900000
El Marques S.A.,07-2024,Ventas Netas,18835540
Jofa S.A.,07-2024,Ventas Netas,0
L A R M Argentina Sociedad Anonima,07-2024,Ventas Netas,34171990
Liftvan International Company S A C,07-2024,Ventas Netas,158999170
Mercovan Argentina S.A.,07-2024,Ventas Netas,146386486
Nerococina S.A.,07-2024,Ventas Netas,14885500
Procnost S.A.,07-2024,Ventas Netas,0
U-Bros S.A.,07-2024,Ventas Netas,6887655
Ulog S.A.,07-2024,Ventas Netas,0
Unapa S.A.,07-2024,Ventas Netas,1421200
Unknown Company,07-2024,Ventas Netas,0
Viñas En Flor S. R. L.,07-2024,Ventas Netas,69375912
Winehaus S.A.,07-2024,Ventas Netas,332640
BA Comex S.A.,06-2024,IVA Ventas,1101626
Deposito Avellaneda Sur S.A.,06-2024,IVA Ventas,68487840
Edelweiss Spedition Srl,06-2024,IVA Ventas,3543024
El Llamito S.A.,06-2024,IVA Ventas,0
El Marques S.A.,06-2024,IVA Ventas,4450098
Jofa S.A.,06-2024,IVA Ventas,0
L A R M Argentina Sociedad Anonima,06-2024,IVA Ventas,3235936
Liftvan International Company S A C,06-2024,IVA Ventas,36393999
Mercovan Argentina S.A.,06-2024,IVA Ventas,14665597
Nerococina S.A.,06-2024,IVA Ventas,269251
U-Bros S.A.,06-2024,IVA Ventas,2005150
Ulog S.A.,06-2024,IVA Ventas,263637
Unapa S.A.,06-2024,IVA Ventas,0
Unknown Company,06-2024,IVA Ventas,0
Viñas En Flor S. R. L.,06-2024,IVA Ventas,28502515
Winehaus S.A.,06-2024,IVA Ventas,431981
BA Comex S.A.,07-2024,IVA Ventas,261443
Deposito Avellaneda Sur S.A.,07-2024,IVA Ventas,95785528
Edelweiss Spedition Srl,07-2024,IVA Ventas,1225133
El Llamito S.A.,07-2024,IVA Ventas,38619000
El Marques S.A.,07-2024,IVA Ventas,3955462
Jofa S.A.,07-2024,IVA Ventas,0
L A R M Argentina Sociedad Anonima,07-2024,IVA Ventas,4158474
Liftvan International Company S A C,07-2024,IVA Ventas,15852827
Mercovan Argentina S.A.,07-2024,IVA Ventas,19555390
Nerococina S.A.,07-2024,IVA Ventas,3125955
Procnost S.A.,07-2024,IVA Ventas,0
U-Bros S.A.,07-2024,IVA Ventas,1446406
Ulog S.A.,07-2024,IVA Ventas,0
Unapa S.A.,07-2024,IVA Ventas,298452
Unknown Company,07-2024,IVA Ventas,0
Viñas En Flor S. R. L.,07-2024,IVA Ventas,14568592
Winehaus S.A.,07-2024,IVA Ventas,69854
BA Comex S.A.,06-2024,IVA Compras,123519
Deposito Avellaneda Sur S.A.,06-2024,IVA Compras,55906701
Edelweiss Spedition Srl,06-2024,IVA Compras,825167
El Llamito S.A.,06-2024,IVA Compras,0
El Marques S.A.,06-2024,IVA Compras,3230001
Jofa S.A.,06-2024,IVA Compras,17087298
L A R M Argentina Sociedad Anonima,06-2024,IVA Compras,1168594
Liftvan International Company S A C,06-2024,IVA Compras,15533254
Mercovan Argentina S.A.,06-2024,IVA Compras,8903143
Nerococina S.A.,06-2024,IVA Compras,694269
U-Bros S.A.,06-2024,IVA Compras,327578
Ulog S.A.,06-2024,IVA Compras,38276
Unapa S.A.,06-2024,IVA Compras,3446826
Unknown Company,06-2024,IVA Compras,0
Viñas En Flor S. R. L.,06-2024,IVA Compras,4306168
Winehaus S.A.,06-2024,IVA Compras,38020
BA Comex S.A.,07-2024,IVA Compras,109902
Deposito Avellaneda Sur S.A.,07-2024,IVA Compras,71844921
Edelweiss Spedition Srl,07-2024,IVA Compras,759511
El Llamito S.A.,07-2024,IVA Compras,578718
El Marques S.A.,07-2024,IVA Compras,1693431
Jofa S.A.,07-2024,IVA Compras,23902722
L A R M Argentina Sociedad Anonima,07-2024,IVA Compras,721399
Liftvan International Company S A C,07-2024,IVA Compras,14710714
Mercovan Argentina S.A.,07-2024,IVA Compras,8533722
Nerococina S.A.,07-2024,IVA Compras,974000
Procnost S.A.,07-2024,IVA Compras,0
U-Bros S.A.,07-2024,IVA Compras,351510
Ulog S.A.,07-2024,IVA Compras,11991
Unapa S.A.,07-2024,IVA Compras,2163084
Unknown Company,07-2024,IVA Compras,0
Viñas En Flor S. R. L.,07-2024,IVA Compras,7843713
Winehaus S.A.,07-2024,IVA Compras,94092
BA Comex S.A.,06-2024,Saldo IVA,-978107
Deposito Avellaneda Sur S.A.,06-2024,Saldo IVA,-12581139
Edelweiss Spedition Srl,06-2024,Saldo IVA,-2717857
El Llamito S.A.,06-2024,Saldo IVA,0
El Marques S.A.,06-2024,Saldo IVA,-1220097
Jofa S.A.,06-2024,Saldo IVA,0
L A R M Argentina Sociedad Anonima,06-2024,Saldo IVA,-2067342
Liftvan International Company S A C,06-2024,Saldo IVA,-20860745
Mercovan Argentina S.A.,06-2024,Saldo IVA,-5762454
Nerococina S.A.,06-2024,Saldo IVA,425018
U-Bros S.A.,06-2024,Saldo IVA,-1677572
Ulog S.A.,06-2024,Saldo IVA,-225361
Unapa S.A.,06-2024,Saldo IVA,0
Unknown Company,06-2024,Saldo IVA,0
Viñas En Flor S. R. L.,06-2024,Saldo IVA,-24196347
Winehaus S.A.,06-2024,Saldo IVA,-393961
BA Comex S.A.,07-2024,Saldo IVA,-151541
Deposito Avellaneda Sur S.A.,07-2024,Saldo IVA,-23940607
Edelweiss Spedition Srl,07-2024,Saldo IVA,-465622
El Llamito S.A.,07-2024,Saldo IVA,-38040282
El Marques S.A.,07-2024,Saldo IVA,-2262031
Jofa S.A.,07-2024,Saldo IVA,0
L A R M Argentina Sociedad Anonima,07-2024,Saldo IVA,-3437075
Liftvan International Company S A C,07-2024,Saldo IVA,-1142113
Mercovan Argentina S.A.,07-2024,Saldo IVA,-11021668
Nerococina S.A.,07-2024,Saldo IVA,-2151955
Procnost S.A.,07-2024,Saldo IVA,0
U-Bros S.A.,07-2024,Saldo IVA,-1094896
Ulog S.A.,07-2024,Saldo IVA,0
Unapa S.A.,07-2024,Saldo IVA,1864632
Unknown Company,07-2024,Saldo IVA,0
Viñas En Flor S. R. L.,07-2024,Saldo IVA,-6724879
Winehaus S.A.,07-2024,Saldo IVA,24238
BA Comex S.A.,06-2024,Ingresos Brutos,0
Deposito Avellaneda Sur S.A.,06-2024,Ingresos Brutos,15234217
Edelweiss Spedition Srl,06-2024,Ingresos Brutos,793638
El Llamito S.A.,06-2024,Ingresos Brutos,0
El Marques S.A.,06-2024,Ingresos Brutos,1055616
Jofa S.A.,06-2024,Ingresos Brutos,0
L A R M Argentina Sociedad Anonima,06-2024,Ingresos Brutos,1279223
Liftvan International Company S A C,06-2024,Ingresos Brutos,8073522
Mercovan Argentina S.A.,06-2024,Ingresos Brutos,4783283
Nerococina S.A.,06-2024,Ingresos Brutos,0
U-Bros S.A.,06-2024,Ingresos Brutos,360784
Ulog S.A.,06-2024,Ingresos Brutos,22460
Unapa S.A.,06-2024,Ingresos Brutos,0
Unknown Company,06-2024,Ingresos Brutos,0
Viñas En Flor S. R. L.,06-2024,Ingresos Brutos,6107726
Winehaus S.A.,06-2024,Ingresos Brutos,0
BA Comex S.A.,07-2024,Ingresos Brutos,0
Deposito Avellaneda Sur S.A.,07-2024,Ingresos Brutos,21206285
Edelweiss Spedition Srl,07-2024,Ingresos Brutos,315163
El Llamito S.A.,07-2024,Ingresos Brutos,9195000
El Marques S.A.,07-2024,Ingresos Brutos,938283
Jofa S.A.,07-2024,Ingresos Brutos,0
L A R M Argentina Sociedad Anonima,07-2024,Ingresos Brutos,1248866
Liftvan International Company S A C,07-2024,Ingresos Brutos,4921390
Mercovan Argentina S.A.,07-2024,Ingresos Brutos,4963175
Nerococina S.A.,07-2024,Ingresos Brutos,0
Procnost S.A.,07-2024,Ingresos Brutos,0
U-Bros S.A.,07-2024,Ingresos Brutos,260250
Ulog S.A.,07-2024,Ingresos Brutos,0
Unapa S.A.,07-2024,Ingresos Brutos,0
Unknown Company,07-2024,Ingresos Brutos,0
Viñas En Flor S. R. L.,07-2024,Ingresos Brutos,3121916
Winehaus S.A.,07-2024,Ingresos Brutos,0
BA Comex S.A.,06-2024,Cargas Sociales,439624
Deposito Avellaneda Sur S.A.,06-2024,Cargas Sociales,14953557
Edelweiss Spedition Srl,06-2024,Cargas Sociales,0
El Llamito S.A.,06-2024,Cargas Sociales,0
El Marques S.A.,06-2024,Cargas Sociales,0
Jofa S.A.,06-2024,Cargas Sociales,7549014
L A R M Argentina Sociedad Anonima,06-2024,Cargas Sociales,3519991
Liftvan International Company S A C,06-2024,Cargas Sociales,20809306
Mercovan Argentina S.A.,06-2024,Cargas Sociales,16494710
Nerococina S.A.,06-2024,Cargas Sociales,156141
U-Bros S.A.,06-2024,Cargas Sociales,723522
Ulog S.A.,06-2024,Cargas Sociales,197088
Unapa S.A.,06-2024,Cargas Sociales,1024620
Unknown Company,06-2024,Cargas Sociales,0
Viñas En Flor S. R. L.,06-2024,Cargas Sociales,6345013
Winehaus S.A.,06-2024,Cargas Sociales,40544
BA Comex S.A.,07-2024,Cargas Sociales,563667
Deposito Avellaneda Sur S.A.,07-2024,Cargas Sociales,21046163
Edelweiss Spedition Srl,07-2024,Cargas Sociales,0
El Llamito S.A.,07-2024,Cargas Sociales,0
El Marques S.A.,07-2024,Cargas Sociales,0
Jofa S.A.,07-2024,Cargas Sociales,10046014
L A R M Argentina Sociedad Anonima,07-2024,Cargas Sociales,4623089
Liftvan International Company S A C,07-2024,Cargas Sociales,25343391
Mercovan Argentina S.A.,07-2024,Cargas Sociales,24084162
Nerococina S.A.,07-2024,Cargas Sociales,156141
Procnost S.A.,07-2024,Cargas Sociales,1460
U-Bros S.A.,07-2024,Cargas Sociales,726743
Ulog S.A.,07-2024,Cargas Sociales,197088
Unapa S.A.,07-2024,Cargas Sociales,1541194
Unknown Company,07-2024,Cargas Sociales,0
Viñas En Flor S. R. L.,07-2024,Cargas Sociales,8607116
Winehaus S.A.,07-2024,Cargas Sociales,40544
BA Comex S.A.,06-2024,Deuda Total,732173
Deposito Avellaneda Sur S.A.,06-2024,Deuda Total,0
Edelweiss Spedition Srl,06-2024,Deuda Total,0
El Llamito S.A.,06-2024,Deuda Total,0
El Marques S.A.,06-2024,Deuda Total,0
Jofa S.A.,06-2024,Deuda Total,32572196
L A R M Argentina Sociedad Anonima,06-2024,Deuda Total,1848
Liftvan International Company S A C,06-2024,Deuda Total,1848
Mercovan Argentina S.A.,06-2024,Deuda Total,0
Nerococina S.A.,06-2024,Deuda Total,0
U-Bros S.A.,06-2024,Deuda Total,0
Ulog S.A.,06-2024,Deuda Total,397880
Unapa S.A.,06-2024,Deuda Total,1149483
Unknown Company,06-2024,Deuda Total,0
Viñas En Flor S. R. L.,06-2024,Deuda Total,25725722
Winehaus S.A.,06-2024,Deuda Total,1940501
BA Comex S.A.,07-2024,Deuda Total,0
Deposito Avellaneda Sur S.A.,07-2024,Deuda Total,4045292
Edelweiss Spedition Srl,07-2024,Deuda Total,705
El Llamito S.A.,07-2024,Deuda Total,6463935
El Marques S.A.,07-2024,Deuda Total,0
Jofa S.A.,07-2024,Deuda Total,32234653
L A R M Argentina Sociedad Anonima,07-2024,Deuda Total,1848
Liftvan International Company S A C,07-2024,Deuda Total,0
Mercovan Argentina S.A.,07-2024,Deuda Total,0
Nerococina S.A.,07-2024,Deuda Total,1153427
Procnost S.A.,07-2024,Deuda Total,220
U-Bros S.A.,07-2024,Deuda Total,0
Ulog S.A.,07-2024,Deuda Total,0
Unapa S.A.,07-2024,Deuda Total,1986145
Unknown Company,07-2024,Deuda Total,0
Viñas En Flor S. R. L.,07-2024,Deuda Total,49415181
Winehaus S.A.,07-2024,Deuda Total,1940501
BA Comex S.A.,08-2024,Ventas Netas,5245855
Deposito Avellaneda Sur S.A.,08-2024,Ventas Netas,329737827
Edelweiss Spedition Srl,08-2024,Ventas Netas,25257605
El Llamito S.A.,08-2024,Ventas Netas,14370000
El Marques S.A.,08-2024,Ventas Netas,21190951
Jofa S.A.,08-2024,Ventas Netas,0
L A R M Argentina Sociedad Anonima,08-2024,Ventas Netas,35002628
Liftvan International Company S A C,08-2024,Ventas Netas,260837557
Mercovan Argentina S.A.,08-2024,Ventas Netas,141080650
Nerococina S.A.,08-2024,Ventas Netas,1282150
U-Bros S.A.,08-2024,Ventas Netas,9548340
Ulog S.A.,08-2024,Ventas Netas,1255418
Unapa S.A.,08-2024,Ventas Netas,0
Unknown Company,08-2024,Ventas Netas,0
Viñas En Flor S. R. L.,08-2024,Ventas Netas,135727257
Winehaus S.A.,08-2024,Ventas Netas,2057053
BA Comex S.A.,08-2024,IVA Ventas,1101626
Deposito Avellaneda Sur S.A.,08-2024,IVA Ventas,68487840
Edelweiss Spedition Srl,08-2024,IVA Ventas,3543024
El Llamito S.A.,08-2024,IVA Ventas,3017700
El Marques S.A.,08-2024,IVA Ventas,4450098
Jofa S.A.,08-2024,IVA Ventas,0
L A R M Argentina Sociedad Anonima,08-2024,IVA Ventas,3235936
Liftvan International Company S A C,08-2024,IVA Ventas,36393999
Mercovan Argentina S.A.,08-2024,IVA Ventas,14665597
Nerococina S.A.,08-2024,IVA Ventas,269251
U-Bros S.A.,08-2024,IVA Ventas,2005150
Ulog S.A.,08-2024,IVA Ventas,263637
Unapa S.A.,08-2024,IVA Ventas,0
Unknown Company,08-2024,IVA Ventas,0
Viñas En Flor S. R. L.,08-2024,IVA Ventas,28502515
Winehaus S.A.,08-2024,IVA Ventas,431981
BA Comex S.A.,08-2024,IVA Compras,123519
Deposito Avellaneda Sur S.A.,08-2024,IVA Compras,58927789
Edelweiss Spedition Srl,08-2024,IVA Compras,825167
El Llamito S.A.,08-2024,IVA Compras,0
El Marques S.A.,08-2024,IVA Compras,3230001
Jofa S.A.,08-2024,IVA Compras,17087298
L A R M Argentina Sociedad Anonima,08-2024,IVA Compras,1168594
Liftvan International Company S A C,08-2024,IVA Compras,15648921
Mercovan Argentina S.A.,08-2024,IVA Compras,8908336
Nerococina S.A.,08-2024,IVA Compras,694269
U-Bros S.A.,08-2024,IVA Compras,327578
Ulog S.A.,08-2024,IVA Compras,38276
Unapa S.A.,08-2024,IVA Compras,3455939
Unknown Company,08-2024,IVA Compras,0
Viñas En Flor S. R. L.,08-2024,IVA Compras,4264507
Winehaus S.A.,08-2024,IVA Compras,38020
BA Comex S.A.,08-2024,Saldo IVA,-978107
Deposito Avellaneda Sur S.A.,08-2024,Saldo IVA,-9560051
Edelweiss Spedition Srl,08-2024,Saldo IVA,-2717857
El Llamito S.A.,08-2024,Saldo IVA,-3017700
El Marques S.A.,08-2024,Saldo IVA,-1220097
Jofa S.A.,08-2024,Saldo IVA,0
L A R M Argentina Sociedad Anonima,08-2024,Saldo IVA,-2067342
Liftvan International Company S A C,08-2024,Saldo IVA,-20745078
Mercovan Argentina S.A.,08-2024,Saldo IVA,-5757261
Nerococina S.A.,08-2024,Saldo IVA,425018
U-Bros S.A.,08-2024,Saldo IVA,-1677572
Ulog S.A.,08-2024,Saldo IVA,-225361
Unapa S.A.,08-2024,Saldo IVA,0
Unknown Company,08-2024,Saldo IVA,0
Viñas En Flor S. R. L.,08-2024,Saldo IVA,-24238008
Winehaus S.A.,08-2024,Saldo IVA,-393961
BA Comex S.A.,08-2024,Ingresos Brutos,0
Deposito Avellaneda Sur S.A.,08-2024,Ingresos Brutos,15234217
Edelweiss Spedition Srl,08-2024,Ingresos Brutos,793638
El Llamito S.A.,08-2024,Ingresos Brutos,718500
El Marques S.A.,08-2024,Ingresos Brutos,1055616
Jofa S.A.,08-2024,Ingresos Brutos,0
L A R M Argentina Sociedad Anonima,08-2024,Ingresos Brutos,1279223
Liftvan International Company S A C,08-2024,Ingresos Brutos,8073522
Mercovan Argentina S.A.,08-2024,Ingresos Brutos,4783283
Nerococina S.A.,08-2024,Ingresos Brutos,0
U-Bros S.A.,08-2024,Ingresos Brutos,360784
Ulog S.A.,08-2024,Ingresos Brutos,22460
Unapa S.A.,08-2024,Ingresos Brutos,0
Unknown Company,08-2024,Ingresos Brutos,0
Viñas En Flor S. R. L.,08-2024,Ingresos Brutos,6107726
Winehaus S.A.,08-2024,Ingresos Brutos,0
BA Comex S.A.,08-2024,Cargas Sociales,439624
Deposito Avellaneda Sur S.A.,08-2024,Cargas Sociales,14953557
Edelweiss Spedition Srl,08-2024,Cargas Sociales,0
El Llamito S.A.,08-2024,Cargas Sociales,0
El Marques S.A.,08-2024,Cargas Sociales,0
Jofa S.A.,08-2024,Cargas Sociales,7549014
L A R M Argentina Sociedad Anonima,08-2024,Cargas Sociales,3519991
Liftvan International Company S A C,08-2024,Cargas Sociales,20809306
Mercovan Argentina S.A.,08-2024,Cargas Sociales,16494710
Nerococina S.A.,08-2024,Cargas Sociales,156141
U-Bros S.A.,08-2024,Cargas Sociales,723522
Ulog S.A.,08-2024,Cargas Sociales,197088
Unapa S.A.,08-2024,Cargas Sociales,1024620
Unknown Company,08-2024,Cargas Sociales,0
Viñas En Flor S. R. L.,08-2024,Cargas Sociales,6345013
Winehaus S.A.,08-2024,Cargas Sociales,40544
BA Comex S.A.,08-2024,Deuda Total,772835
Deposito Avellaneda Sur S.A.,08-2024,Deuda Total,0
Edelweiss Spedition Srl,08-2024,Deuda Total,0
El Llamito S.A.,08-2024,Deuda Total,0
El Marques S.A.,08-2024,Deuda Total,0
Jofa S.A.,08-2024,Deuda Total,37127869
L A R M Argentina Sociedad Anonima,08-2024,Deuda Total,1848
Liftvan International Company S A C,08-2024,Deuda Total,1848
Mercovan Argentina S.A.,08-2024,Deuda Total,0
Nerococina S.A.,08-2024,Deuda Total,0
U-Bros S.A.,08-2024,Deuda Total,0
Ulog S.A.,08-2024,Deuda Total,497616
Unapa S.A.,08-2024,Deuda Total,2236873
Unknown Company,08-2024,Deuda Total,0
Viñas En Flor S. R. L.,08-2024,Deuda Total,42272515
Winehaus S.A.,08-2024,Deuda Total,1940501
BA Comex S.A.,09-2024,Ventas Netas,5245855
