Company Name,Mes,Variable,Value
El Marques S.A.,02-2025,Ventas Netas,24387864
Jofa S.A.,02-2025,Ventas Netas,0
L A R M Argentina Sociedad Anonima,02-2025,Ventas Netas,35674262
Liftvan International Company S A C,02-2025,Ventas Netas,561244209
Mercovan Argentina S.A.,02-2025,Ventas Netas,224651168
Nerococina S.A.,02-2025,Ventas Netas,1800000
U-Bros S.A.,02-2025,Ventas Netas,14862136
Ulog S.A.,02-2025,Ventas Netas,0
Unapa S.A.,02-2025,Ventas Netas,0
Unknown Company,02-2025,Ventas Netas,0
Viñas En Flor S. R. L.,02-2025,Ventas Netas,64786278
Winehaus S.A.,02-2025,Ventas Netas,0
BA Comex S.A.,02-2025,IVA Ventas,3507018
Deposito Avellaneda Sur S.A.,02-2025,IVA Ventas,88017420
Edelweiss Spedition Srl,02-2025,IVA Ventas,1678518
El Llamito S.A.,02-2025,IVA Ventas,0
El Marques S.A.,02-2025,IVA Ventas,5121450
Jofa S.A.,02-2025,IVA Ventas,0
L A R M Argentina Sociedad Anonima,02-2025,IVA Ventas,4989344
Liftvan International Company S A C,02-2025,IVA Ventas,46909664
Mercovan Argentina S.A.,02-2025,IVA Ventas,28601452
Nerococina S.A.,02-2025,IVA Ventas,378000
U-Bros S.A.,02-2025,IVA Ventas,3121046
Ulog S.A.,02-2025,IVA Ventas,0
Unapa S.A.,02-2025,IVA Ventas,0
Unknown Company,02-2025,IVA Ventas,0
Viñas En Flor S. R. L.,02-2025,IVA Ventas,13605014
Winehaus S.A.,02-2025,IVA Ventas,0
BA Comex S.A.,02-2025,IVA Compras,621987
Deposito Avellaneda Sur S.A.,02-2025,IVA Compras,68033701
Edelweiss Spedition Srl,02-2025,IVA Compras,5134648
El Llamito S.A.,02-2025,IVA Compras,0
El Marques S.A.,02-2025,IVA Compras,1704642
Jofa S.A.,02-2025,IVA Compras,22717658
L A R M Argentina Sociedad Anonima,02-2025,IVA Compras,1242728
Liftvan International Company S A C,02-2025,IVA Compras,30944853
Mercovan Argentina S.A.,02-2025,IVA Compras,9788604
Nerococina S.A.,02-2025,IVA Compras,378865
U-Bros S.A.,02-2025,IVA Compras,947965
Ulog S.A.,02-2025,IVA Compras,45249
Unapa S.A.,02-2025,IVA Compras,3439323
Unknown Company,02-2025,IVA Compras,0
Viñas En Flor S. R. L.,02-2025,IVA Compras,5350686
Winehaus S.A.,02-2025,IVA Compras,0
BA Comex S.A.,02-2025,Saldo IVA,-2885031
Deposito Avellaneda Sur S.A.,02-2025,Saldo IVA,-19983719
Edelweiss Spedition Srl,02-2025,Saldo IVA,3456130
El Llamito S.A.,02-2025,Saldo IVA,0
El Marques S.A.,02-2025,Saldo IVA,-3416808
Jofa S.A.,02-2025,Saldo IVA,0
L A R M Argentina Sociedad Anonima,02-2025,Saldo IVA,-3746616
Liftvan International Company S A C,02-2025,Saldo IVA,-15964811
Mercovan Argentina S.A.,02-2025,Saldo IVA,-18812848
Nerococina S.A.,02-2025,Saldo IVA,865
U-Bros S.A.,02-2025,Saldo IVA,-2173081
Ulog S.A.,02-2025,Saldo IVA,0
Unapa S.A.,02-2025,Saldo IVA,0
Unknown Company,02-2025,Saldo IVA,0
Viñas En Flor S. R. L.,02-2025,Saldo IVA,-8254328
Winehaus S.A.,02-2025,Saldo IVA,0
BA Comex S.A.,02-2025,Ingresos Brutos,0
Deposito Avellaneda Sur S.A.,02-2025,Ingresos Brutos,20119271
Edelweiss Spedition Srl,02-2025,Ingresos Brutos,993970
El Llamito S.A.,02-2025,Ingresos Brutos,0
El Marques S.A.,02-2025,Ingresos Brutos,1214869
Jofa S.A.,02-2025,Ingresos Brutos,0
L A R M Argentina Sociedad Anonima,02-2025,Ingresos Brutos,1303769
Liftvan International Company S A C,02-2025,Ingresos Brutos,17371799
Mercovan Argentina S.A.,02-2025,Ingresos Brutos,7616707
Nerococina S.A.,02-2025,Ingresos Brutos,0
U-Bros S.A.,02-2025,Ingresos Brutos,561565
Ulog S.A.,02-2025,Ingresos Brutos,0
Unapa S.A.,02-2025,Ingresos Brutos,0
Unknown Company,02-2025,Ingresos Brutos,0
Viñas En Flor S. R. L.,02-2025,Ingresos Brutos,2915382
Winehaus S.A.,02-2025,Ingresos Brutos,0
BA Comex S.A.,02-2025,Cargas Sociales,1277491
Deposito Avellaneda Sur S.A.,02-2025,Cargas Sociales,21618179
Edelweiss Spedition Srl,02-2025,Cargas Sociales,0
El Llamito S.A.,02-2025,Cargas Sociales,0
El Marques S.A.,02-2025,Cargas Sociales,0
Jofa S.A.,02-2025,Cargas Sociales,9517025
L A R M Argentina Sociedad Anonima,02-2025,Cargas Sociales,4355006
Liftvan International Company S A C,02-2025,Cargas Sociales,24352643
Mercovan Argentina S.A.,02-2025,Cargas Sociales,19455071
Nerococina S.A.,02-2025,Cargas Sociales,156141
U-Bros S.A.,02-2025,Cargas Sociales,966815
Ulog S.A.,02-2025,Cargas Sociales,197088
Unapa S.A.,02-2025,Cargas Sociales,373673
Unknown Company,02-2025,Cargas Sociales,0
Viñas En Flor S. R. L.,02-2025,Cargas Sociales,8109493
Winehaus S.A.,02-2025,Cargas Sociales,40544
BA Comex S.A.,02-2025,Deuda Total,2391050
Deposito Avellaneda Sur S.A.,02-2025,Deuda Total,16900125
Edelweiss Spedition Srl,02-2025,Deuda Total,0
El Llamito S.A.,02-2025,Deuda Total,8401225
El Marques S.A.,02-2025,Deuda Total,0
Jofa S.A.,02-2025,Deuda Total,67769294
L A R M Argentina Sociedad Anonima,02-2025,Deuda Total,3608117
Liftvan International Company S A C,02-2025,Deuda Total,0
Mercovan Argentina S.A.,02-2025,Deuda Total,0
Nerococina S.A.,02-2025,Deuda Total,0
U-Bros S.A.,02-2025,Deuda Total,3317528
Ulog S.A.,02-2025,Deuda Total,498680
Unapa S.A.,02-2025,Deuda Total,0
Unknown Company,02-2025,Deuda Total,0
Viñas En Flor S. R. L.,02-2025,Deuda Total,13233555
Winehaus S.A.,02-2025,Deuda Total,2551949
BA Comex S.A.,03-2025,Ventas Netas,9665920
De la Arena Coll Manuel,03-2025,Ventas Netas,0
Deposito Avellaneda Sur S.A.,03-2025,Ventas Netas,539116970
Edelweiss Spedition Srl,03-2025,Ventas Netas,91740589
El Llamito S.A.,03-2025,Ventas Netas,0
El Marques S.A.,03-2025,Ventas Netas,24934652
Jofa S.A.,03-2025,Ventas Netas,0
L A R M Argentina Sociedad Anonima,03-2025,Ventas Netas,67260387
Liftvan International Company S A C,03-2025,Ventas Netas,478004149
Mercovan Argentina S.A.,03-2025,Ventas Netas,199567173
Nerococina S.A.,03-2025,Ventas Netas,4207749
U-Bros S.A.,03-2025,Ventas Netas,13430922
Ulog S.A.,03-2025,Ventas Netas,7444640
Unapa S.A.,03-2025,Ventas Netas,0
Unknown Company,03-2025,Ventas Netas,0
Viñas En Flor S. R. L.,03-2025,Ventas Netas,70931075
Winehaus S.A.,03-2025,Ventas Netas,0
BA Comex S.A.,03-2025,IVA Ventas,2029837
De la Arena Coll Manuel,03-2025,IVA Ventas,0
Deposito Avellaneda Sur S.A.,03-2025,IVA Ventas,107389044
Edelweiss Spedition Srl,03-2025,IVA Ventas,9829990
El Llamito S.A.,03-2025,IVA Ventas,0
El Marques S.A.,03-2025,IVA Ventas,5236275
Jofa S.A.,03-2025,IVA Ventas,0
L A R M Argentina Sociedad Anonima,03-2025,IVA Ventas,6754186
Liftvan International Company S A C,03-2025,IVA Ventas,56771073
Mercovan Argentina S.A.,03-2025,IVA Ventas,19835702
Nerococina S.A.,03-2025,IVA Ventas,883627
U-Bros S.A.,03-2025,IVA Ventas,2820492
Ulog S.A.,03-2025,IVA Ventas,1563374
Unapa S.A.,03-2025,IVA Ventas,0
Unknown Company,03-2025,IVA Ventas,0
Viñas En Flor S. R. L.,03-2025,IVA Ventas,14205949
Winehaus S.A.,03-2025,IVA Ventas,0
BA Comex S.A.,03-2025,IVA Compras,430129
De la Arena Coll Manuel,03-2025,IVA Compras,9205
Deposito Avellaneda Sur S.A.,03-2025,IVA Compras,63070045
Edelweiss Spedition Srl,03-2025,IVA Compras,9474030
El Llamito S.A.,03-2025,IVA Compras,0
El Marques S.A.,03-2025,IVA Compras,1887019
Jofa S.A.,03-2025,IVA Compras,20768093
L A R M Argentina Sociedad Anonima,03-2025,IVA Compras,1178076
Liftvan International Company S A C,03-2025,IVA Compras,36194604
Mercovan Argentina S.A.,03-2025,IVA Compras,14665730
Nerococina S.A.,03-2025,IVA Compras,949211
U-Bros S.A.,03-2025,IVA Compras,84583
Ulog S.A.,03-2025,IVA Compras,31349
Unapa S.A.,03-2025,IVA Compras,1791868
Unknown Company,03-2025,IVA Compras,0
Viñas En Flor S. R. L.,03-2025,IVA Compras,6811259
Winehaus S.A.,03-2025,IVA Compras,-18039
BA Comex S.A.,03-2025,Saldo IVA,-1599708
De la Arena Coll Manuel,03-2025,Saldo IVA,0
Deposito Avellaneda Sur S.A.,03-2025,Saldo IVA,-44318999
Edelweiss Spedition Srl,03-2025,Saldo IVA,-355960
El Llamito S.A.,03-2025,Saldo IVA,0
El Marques S.A.,03-2025,Saldo IVA,-3349256
Jofa S.A.,03-2025,Saldo IVA,0
L A R M Argentina Sociedad Anonima,03-2025,Saldo IVA,-5576110
Liftvan International Company S A C,03-2025,Saldo IVA,-20576469
Mercovan Argentina S.A.,03-2025,Saldo IVA,-5169972
Nerococina S.A.,03-2025,Saldo IVA,65584
U-Bros S.A.,03-2025,Saldo IVA,-2735909
Ulog S.A.,03-2025,Saldo IVA,-1532025
Unapa S.A.,03-2025,Saldo IVA,0
Unknown Company,03-2025,Saldo IVA,0
Viñas En Flor S. R. L.,03-2025,Saldo IVA,-7394690
Winehaus S.A.,03-2025,Saldo IVA,0
BA Comex S.A.,03-2025,Ingresos Brutos,0
De la Arena Coll Manuel,03-2025,Ingresos Brutos,0
Deposito Avellaneda Sur S.A.,03-2025,Ingresos Brutos,24907743
Edelweiss Spedition Srl,03-2025,Ingresos Brutos,2882649
El Llamito S.A.,03-2025,Ingresos Brutos,0
El Marques S.A.,03-2025,Ingresos Brutos,1242107
Jofa S.A.,03-2025,Ingresos Brutos,0
L A R M Argentina Sociedad Anonima,03-2025,Ingresos Brutos,2458131
Liftvan International Company S A C,03-2025,Ingresos Brutos,14795327
Mercovan Argentina S.A.,03-2025,Ingresos Brutos,6766245
Nerococina S.A.,03-2025,Ingresos Brutos,0
U-Bros S.A.,03-2025,Ingresos Brutos,507487
Ulog S.A.,03-2025,Ingresos Brutos,133192
Unapa S.A.,03-2025,Ingresos Brutos,0
Unknown Company,03-2025,Ingresos Brutos,0
Viñas En Flor S. R. L.,03-2025,Ingresos Brutos,3191898
Winehaus S.A.,03-2025,Ingresos Brutos,0
BA Comex S.A.,03-2025,Cargas Sociales,1277491
De la Arena Coll Manuel,03-2025,Cargas Sociales,0
Deposito Avellaneda Sur S.A.,03-2025,Cargas Sociales,22453874
Edelweiss Spedition Srl,03-2025,Cargas Sociales,0
El Llamito S.A.,03-2025,Cargas Sociales,0
El Marques S.A.,03-2025,Cargas Sociales,0
Jofa S.A.,03-2025,Cargas Sociales,9678671
L A R M Argentina Sociedad Anonima,03-2025,Cargas Sociales,4355006
Liftvan International Company S A C,03-2025,Cargas Sociales,28234619
Mercovan Argentina S.A.,03-2025,Cargas Sociales,19615303
Nerococina S.A.,03-2025,Cargas Sociales,156141
U-Bros S.A.,03-2025,Cargas Sociales,966815
Ulog S.A.,03-2025,Cargas Sociales,197088
Unapa S.A.,03-2025,Cargas Sociales,384359
Unknown Company,03-2025,Cargas Sociales,0
Viñas En Flor S. R. L.,03-2025,Cargas Sociales,8666668
Winehaus S.A.,03-2025,Cargas Sociales,40544
BA Comex S.A.,03-2025,Deuda Total,2391050
De la Arena Coll Manuel,03-2025,Deuda Total,0
Deposito Avellaneda Sur S.A.,03-2025,Deuda Total,0
Edelweiss Spedition Srl,03-2025,Deuda Total,512008
El Llamito S.A.,03-2025,Deuda Total,10081470
El Marques S.A.,03-2025,Deuda Total,0
Jofa S.A.,03-2025,Deuda Total,25386669
L A R M Argentina Sociedad Anonima,03-2025,Deuda Total,1848
Liftvan International Company S A C,03-2025,Deuda Total,0
Mercovan Argentina S.A.,03-2025,Deuda Total,0
Nerococina S.A.,03-2025,Deuda Total,0
U-Bros S.A.,03-2025,Deuda Total,0
Ulog S.A.,03-2025,Deuda Total,1171278
Unapa S.A.,03-2025,Deuda Total,0
Unknown Company,03-2025,Deuda Total,0
Viñas En Flor S. R. L.,03-2025,Deuda Total,8736952
Winehaus S.A.,03-2025,Deuda Total,2551949
BA Comex S.A.,04-2025,Ventas Netas,7629878
De la Arena Coll Manuel,04-2025,Ventas Netas,0
Deposito Avellaneda Sur S.A.,04-2025,Ventas Netas,707189450
Edelweiss Spedition Srl,04-2025,Ventas Netas,19935646
El Llamito S.A.,04-2025,Ventas Netas,34950000
El Marques S.A.,04-2025,Ventas Netas,26305258
Jofa S.A.,04-2025,Ventas Netas,0
L A R M Argentina Sociedad Anonima,04-2025,Ventas Netas,38007926
Liftvan International Company S A C,04-2025,Ventas Netas,573312522
Mercovan Argentina S.A.,04-2025,Ventas Netas,118098815
Nerococina S.A.,04-2025,Ventas Netas,10310037
U-Bros S.A.,04-2025,Ventas Netas,13810257
Ulog S.A.,04-2025,Ventas Netas,7739760
Unapa S.A.,04-2025,Ventas Netas,0
Unknown Company,04-2025,Ventas Netas,0
Viñas En Flor S. R. L.,04-2025,Ventas Netas,114670334
Winehaus S.A.,04-2025,Ventas Netas,0
BA Comex S.A.,04-2025,IVA Ventas,1602274
De la Arena Coll Manuel,04-2025,IVA Ventas,0
Deposito Avellaneda Sur S.A.,04-2025,IVA Ventas,148100982
Edelweiss Spedition Srl,04-2025,IVA Ventas,-74787
El Llamito S.A.,04-2025,IVA Ventas,7339500
El Marques S.A.,04-2025,IVA Ventas,5524102
Jofa S.A.,04-2025,IVA Ventas,0
L A R M Argentina Sociedad Anonima,04-2025,IVA Ventas,3491623
Liftvan International Company S A C,04-2025,IVA Ventas,39359320
Mercovan Argentina S.A.,04-2025,IVA Ventas,16370114
Nerococina S.A.,04-2025,IVA Ventas,2165106
U-Bros S.A.,04-2025,IVA Ventas,2900151
Ulog S.A.,04-2025,IVA Ventas,1625349
Unapa S.A.,04-2025,IVA Ventas,0
Unknown Company,04-2025,IVA Ventas,0
Viñas En Flor S. R. L.,04-2025,IVA Ventas,24080496
Winehaus S.A.,04-2025,IVA Ventas,0
BA Comex S.A.,04-2025,IVA Compras,325881
De la Arena Coll Manuel,04-2025,IVA Compras,18112
Deposito Avellaneda Sur S.A.,04-2025,IVA Compras,77992296
Edelweiss Spedition Srl,04-2025,IVA Compras,6818267
El Llamito S.A.,04-2025,IVA Compras,0
El Marques S.A.,04-2025,IVA Compras,2100556
Jofa S.A.,04-2025,IVA Compras,28819474
L A R M Argentina Sociedad Anonima,04-2025,IVA Compras,945048
Liftvan International Company S A C,04-2025,IVA Compras,34896718
Mercovan Argentina S.A.,04-2025,IVA Compras,11649110
Nerococina S.A.,04-2025,IVA Compras,670790
U-Bros S.A.,04-2025,IVA Compras,333476
Ulog S.A.,04-2025,IVA Compras,1105
Unapa S.A.,04-2025,IVA Compras,1320262
Unknown Company,04-2025,IVA Compras,0
Viñas En Flor S. R. L.,04-2025,IVA Compras,4317429
Winehaus S.A.,04-2025,IVA Compras,0
BA Comex S.A.,04-2025,Saldo IVA,-1276393
De la Arena Coll Manuel,04-2025,Saldo IVA,0
Deposito Avellaneda Sur S.A.,04-2025,Saldo IVA,-70108686
Edelweiss Spedition Srl,04-2025,Saldo IVA,6893054
El Llamito S.A.,04-2025,Saldo IVA,0
El Marques S.A.,04-2025,Saldo IVA,-3423546
Jofa S.A.,04-2025,Saldo IVA,0
L A R M Argentina Sociedad Anonima,04-2025,Saldo IVA,-2546575
Liftvan International Company S A C,04-2025,Saldo IVA,-4462602
Mercovan Argentina S.A.,04-2025,Saldo IVA,-4721004
Nerococina S.A.,04-2025,Saldo IVA,-1494316
U-Bros S.A.,04-2025,Saldo IVA,-2566675
Ulog S.A.,04-2025,Saldo IVA,-1624244
Unapa S.A.,04-2025,Saldo IVA,0
Unknown Company,04-2025,Saldo IVA,0
Viñas En Flor S. R. L.,04-2025,Saldo IVA,-19763067
Winehaus S.A.,04-2025,Saldo IVA,0
BA Comex S.A.,04-2025,Ingresos Brutos,0
De la Arena Coll Manuel,04-2025,Ingresos Brutos,0
Deposito Avellaneda Sur S.A.,04-2025,Ingresos Brutos,32672859
Edelweiss Spedition Srl,04-2025,Ingresos Brutos,626412
El Llamito S.A.,04-2025,Ingresos Brutos,1747500
El Marques S.A.,04-2025,Ingresos Brutos,1310383
Jofa S.A.,04-2025,Ingresos Brutos,0
L A R M Argentina Sociedad Anonima,04-2025,Ingresos Brutos,1389056
Liftvan International Company S A C,04-2025,Ingresos Brutos,17745341
Mercovan Argentina S.A.,04-2025,Ingresos Brutos,4004093
Nerococina S.A.,04-2025,Ingresos Brutos,0
U-Bros S.A.,04-2025,Ingresos Brutos,521820
Ulog S.A.,04-2025,Ingresos Brutos,138472
Unapa S.A.,04-2025,Ingresos Brutos,0
Unknown Company,04-2025,Ingresos Brutos,0
Viñas En Flor S. R. L.,04-2025,Ingresos Brutos,5160165
Winehaus S.A.,04-2025,Ingresos Brutos,0
BA Comex S.A.,04-2025,Cargas Sociales,1286711
De la Arena Coll Manuel,04-2025,Cargas Sociales,0
Deposito Avellaneda Sur S.A.,04-2025,Cargas Sociales,22044506
Edelweiss Spedition Srl,04-2025,Cargas Sociales,0
El Llamito S.A.,04-2025,Cargas Sociales,0
El Marques S.A.,04-2025,Cargas Sociales,0
Jofa S.A.,04-2025,Cargas Sociales,10260855
L A R M Argentina Sociedad Anonima,04-2025,Cargas Sociales,4341021
Liftvan International Company S A C,04-2025,Cargas Sociales,28419590
Mercovan Argentina S.A.,04-2025,Cargas Sociales,20130190
Nerococina S.A.,04-2025,Cargas Sociales,315345
U-Bros S.A.,04-2025,Cargas Sociales,1021311
Ulog S.A.,04-2025,Cargas Sociales,197088
Unapa S.A.,04-2025,Cargas Sociales,384390
Unknown Company,04-2025,Cargas Sociales,0
Viñas En Flor S. R. L.,04-2025,Cargas Sociales,8779802
Winehaus S.A.,04-2025,Cargas Sociales,40544
BA Comex S.A.,04-2025,Deuda Total,2391050
De la Arena Coll Manuel,04-2025,Deuda Total,2391050
Deposito Avellaneda Sur S.A.,04-2025,Deuda Total,0
Edelweiss Spedition Srl,04-2025,Deuda Total,576009
El Llamito S.A.,04-2025,Deuda Total,11761715
El Marques S.A.,04-2025,Deuda Total,0
Jofa S.A.,04-2025,Deuda Total,32527536
L A R M Argentina Sociedad Anonima,04-2025,Deuda Total,1848
Liftvan International Company S A C,04-2025,Deuda Total,0
Mercovan Argentina S.A.,04-2025,Deuda Total,0
Nerococina S.A.,04-2025,Deuda Total,0
U-Bros S.A.,04-2025,Deuda Total,0
Ulog S.A.,04-2025,Deuda Total,698152
Unapa S.A.,04-2025,Deuda Total,0
Unknown Company,04-2025,Deuda Total,0
Viñas En Flor S. R. L.,04-2025,Deuda Total,15845848
Winehaus S.A.,04-2025,Deuda Total,2551949
